name,problem,initial_solution
56_Matmul_Sigmoid_Sum,problems/problems/kb_level2//56_Matmul_Sigmoid_Sum.json,problems/problems/kb_level2//56_Matmul_Sigmoid_Sum_initial.py
57_Conv2d_ReLU_HardSwish,problems/problems/kb_level2//57_Conv2d_ReLU_HardSwish.json,problems/problems/kb_level2//57_Conv2d_ReLU_HardSwish_initial.py
58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp,problems/problems/kb_level2//58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp.json,problems/problems/kb_level2//58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp_initial.py
59_Matmul_Swish_Scaling,problems/problems/kb_level2//59_Matmul_Swish_Scaling.json,problems/problems/kb_level2//59_Matmul_Swish_Scaling_initial.py
60_ConvTranspose3d_Swish_GroupNorm_HardSwish,problems/problems/kb_level2//60_ConvTranspose3d_Swish_GroupNorm_HardSwish.json,problems/problems/kb_level2//60_ConvTranspose3d_Swish_GroupNorm_HardSwish_initial.py
61_ConvTranspose3d_ReLU_GroupNorm,problems/problems/kb_level2//61_ConvTranspose3d_ReLU_GroupNorm.json,problems/problems/kb_level2//61_ConvTranspose3d_ReLU_GroupNorm_initial.py
62_Matmul_GroupNorm_LeakyReLU_Sum,problems/problems/kb_level2//62_Matmul_GroupNorm_LeakyReLU_Sum.json,problems/problems/kb_level2//62_Matmul_GroupNorm_LeakyReLU_Sum_initial.py
63_Gemm_ReLU_Divide,problems/problems/kb_level2//63_Gemm_ReLU_Divide.json,problems/problems/kb_level2//63_Gemm_ReLU_Divide_initial.py
64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU,problems/problems/kb_level2//64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU.json,problems/problems/kb_level2//64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU_initial.py
65_Conv2d_AvgPool_Sigmoid_Sum,problems/problems/kb_level2//65_Conv2d_AvgPool_Sigmoid_Sum.json,problems/problems/kb_level2//65_Conv2d_AvgPool_Sigmoid_Sum_initial.py
66_Matmul_Dropout_Softmax,problems/problems/kb_level2//66_Matmul_Dropout_Softmax.json,problems/problems/kb_level2//66_Matmul_Dropout_Softmax_initial.py
67_Conv2d_GELU_GlobalAvgPool,problems/problems/kb_level2//67_Conv2d_GELU_GlobalAvgPool.json,problems/problems/kb_level2//67_Conv2d_GELU_GlobalAvgPool_initial.py
68_Matmul_Min_Subtract,problems/problems/kb_level2//68_Matmul_Min_Subtract.json,problems/problems/kb_level2//68_Matmul_Min_Subtract_initial.py
69_Conv2d_HardSwish_ReLU,problems/problems/kb_level2//69_Conv2d_HardSwish_ReLU.json,problems/problems/kb_level2//69_Conv2d_HardSwish_ReLU_initial.py
70_Gemm_Sigmoid_Scaling_ResidualAdd,problems/problems/kb_level2//70_Gemm_Sigmoid_Scaling_ResidualAdd.json,problems/problems/kb_level2//70_Gemm_Sigmoid_Scaling_ResidualAdd_initial.py
71_Conv2d_Divide_LeakyReLU,problems/problems/kb_level2//71_Conv2d_Divide_LeakyReLU.json,problems/problems/kb_level2//71_Conv2d_Divide_LeakyReLU_initial.py
72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool,problems/problems/kb_level2//72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool.json,problems/problems/kb_level2//72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool_initial.py
73_Conv2d_BatchNorm_Scaling,problems/problems/kb_level2//73_Conv2d_BatchNorm_Scaling.json,problems/problems/kb_level2//73_Conv2d_BatchNorm_Scaling_initial.py
74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max,problems/problems/kb_level2//74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max.json,problems/problems/kb_level2//74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max_initial.py
75_Gemm_GroupNorm_Min_BiasAdd,problems/problems/kb_level2//75_Gemm_GroupNorm_Min_BiasAdd.json,problems/problems/kb_level2//75_Gemm_GroupNorm_Min_BiasAdd_initial.py
76_Gemm_Add_ReLU,problems/problems/kb_level2//76_Gemm_Add_ReLU.json,problems/problems/kb_level2//76_Gemm_Add_ReLU_initial.py
77_ConvTranspose3d_Scale_BatchNorm_GlobalAvgPool,problems/problems/kb_level2//77_ConvTranspose3d_Scale_BatchNorm_GlobalAvgPool.json,problems/problems/kb_level2//77_ConvTranspose3d_Scale_BatchNorm_GlobalAvgPool_initial.py
78_ConvTranspose3d_Max_Max_Sum,problems/problems/kb_level2//78_ConvTranspose3d_Max_Max_Sum.json,problems/problems/kb_level2//78_ConvTranspose3d_Max_Max_Sum_initial.py
79_Conv3d_Multiply_InstanceNorm_Clamp_Multiply_Max,problems/problems/kb_level2//79_Conv3d_Multiply_InstanceNorm_Clamp_Multiply_Max.json,problems/problems/kb_level2//79_Conv3d_Multiply_InstanceNorm_Clamp_Multiply_Max_initial.py
80_Gemm_Max_Subtract_GELU,problems/problems/kb_level2//80_Gemm_Max_Subtract_GELU.json,problems/problems/kb_level2//80_Gemm_Max_Subtract_GELU_initial.py
81_Gemm_Swish_Divide_Clamp_Tanh_Clamp,problems/problems/kb_level2//81_Gemm_Swish_Divide_Clamp_Tanh_Clamp.json,problems/problems/kb_level2//81_Gemm_Swish_Divide_Clamp_Tanh_Clamp_initial.py
82_Conv2d_Tanh_Scaling_BiasAdd_Max,problems/problems/kb_level2//82_Conv2d_Tanh_Scaling_BiasAdd_Max.json,problems/problems/kb_level2//82_Conv2d_Tanh_Scaling_BiasAdd_Max_initial.py
83_Conv3d_GroupNorm_Min_Clamp_Dropout,problems/problems/kb_level2//83_Conv3d_GroupNorm_Min_Clamp_Dropout.json,problems/problems/kb_level2//83_Conv3d_GroupNorm_Min_Clamp_Dropout_initial.py
84_Gemm_BatchNorm_Scaling_Softmax,problems/problems/kb_level2//84_Gemm_BatchNorm_Scaling_Softmax.json,problems/problems/kb_level2//84_Gemm_BatchNorm_Scaling_Softmax_initial.py
85_Conv2d_GroupNorm_Scale_MaxPool_Clamp,problems/problems/kb_level2//85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.json,problems/problems/kb_level2//85_Conv2d_GroupNorm_Scale_MaxPool_Clamp_initial.py
86_Matmul_Divide_GELU,problems/problems/kb_level2//86_Matmul_Divide_GELU.json,problems/problems/kb_level2//86_Matmul_Divide_GELU_initial.py
87_Conv2d_Subtract_Subtract_Mish,problems/problems/kb_level2//87_Conv2d_Subtract_Subtract_Mish.json,problems/problems/kb_level2//87_Conv2d_Subtract_Subtract_Mish_initial.py
88_Gemm_GroupNorm_Swish_Multiply_Swish,problems/problems/kb_level2//88_Gemm_GroupNorm_Swish_Multiply_Swish.json,problems/problems/kb_level2//88_Gemm_GroupNorm_Swish_Multiply_Swish_initial.py
89_ConvTranspose3d_MaxPool_Softmax_Subtract_Swish_Max,problems/problems/kb_level2//89_ConvTranspose3d_MaxPool_Softmax_Subtract_Swish_Max.json,problems/problems/kb_level2//89_ConvTranspose3d_MaxPool_Softmax_Subtract_Swish_Max_initial.py
90_Conv3d_LeakyReLU_Sum_Clamp_GELU,problems/problems/kb_level2//90_Conv3d_LeakyReLU_Sum_Clamp_GELU.json,problems/problems/kb_level2//90_Conv3d_LeakyReLU_Sum_Clamp_GELU_initial.py
91_ConvTranspose2d_Softmax_BiasAdd_Scaling_Sigmoid,problems/problems/kb_level2//91_ConvTranspose2d_Softmax_BiasAdd_Scaling_Sigmoid.json,problems/problems/kb_level2//91_ConvTranspose2d_Softmax_BiasAdd_Scaling_Sigmoid_initial.py
92_Conv2d_GroupNorm_Tanh_HardSwish_ResidualAdd_LogSumExp,problems/problems/kb_level2//92_Conv2d_GroupNorm_Tanh_HardSwish_ResidualAdd_LogSumExp.json,problems/problems/kb_level2//92_Conv2d_GroupNorm_Tanh_HardSwish_ResidualAdd_LogSumExp_initial.py
93_ConvTranspose2d_Add_Min_GELU_Multiply,problems/problems/kb_level2//93_ConvTranspose2d_Add_Min_GELU_Multiply.json,problems/problems/kb_level2//93_ConvTranspose2d_Add_Min_GELU_Multiply_initial.py
94_Gemm_BiasAdd_Hardtanh_Mish_GroupNorm,problems/problems/kb_level2//94_Gemm_BiasAdd_Hardtanh_Mish_GroupNorm.json,problems/problems/kb_level2//94_Gemm_BiasAdd_Hardtanh_Mish_GroupNorm_initial.py
95_Matmul_Add_Swish_Tanh_GELU_Hardtanh,problems/problems/kb_level2//95_Matmul_Add_Swish_Tanh_GELU_Hardtanh.json,problems/problems/kb_level2//95_Matmul_Add_Swish_Tanh_GELU_Hardtanh_initial.py
96_ConvTranspose3d_Multiply_Max_GlobalAvgPool_Clamp,problems/problems/kb_level2//96_ConvTranspose3d_Multiply_Max_GlobalAvgPool_Clamp.json,problems/problems/kb_level2//96_ConvTranspose3d_Multiply_Max_GlobalAvgPool_Clamp_initial.py
97_Matmul_BatchNorm_BiasAdd_Divide_Swish,problems/problems/kb_level2//97_Matmul_BatchNorm_BiasAdd_Divide_Swish.json,problems/problems/kb_level2//97_Matmul_BatchNorm_BiasAdd_Divide_Swish_initial.py
98_Matmul_AvgPool_GELU_Scale_Max,problems/problems/kb_level2//98_Matmul_AvgPool_GELU_Scale_Max.json,problems/problems/kb_level2//98_Matmul_AvgPool_GELU_Scale_Max_initial.py
99_Matmul_GELU_Softmax,problems/problems/kb_level2//99_Matmul_GELU_Softmax.json,problems/problems/kb_level2//99_Matmul_GELU_Softmax_initial.py
100_ConvTranspose3d_Clamp_Min_Divide,problems/problems/kb_level2//100_ConvTranspose3d_Clamp_Min_Divide.json,problems/problems/kb_level2//100_ConvTranspose3d_Clamp_Min_Divide_initial.py
