name,problem,initial_solution
75_conv_transposed_2d_asymmetric_input_asymmetric_kernel_strided_grouped_padded_dilated,problems/kb_level1/75_conv_transposed_2d_asymmetric_input_asymmetric_kernel_strided_grouped_padded_dilated.json,problems/kb_level1/75_conv_transposed_2d_asymmetric_input_asymmetric_kernel_strided_grouped_padded_dilated_initial.py
76_conv_standard_1d_dilated_strided,problems/kb_level1/76_conv_standard_1d_dilated_strided.json,problems/kb_level1/76_conv_standard_1d_dilated_strided_initial.py
77_conv_transposed_3d_square_input_square_kernel_padded_dilated_strided,problems/kb_level1/77_conv_transposed_3d_square_input_square_kernel_padded_dilated_strided.json,problems/kb_level1/77_conv_transposed_3d_square_input_square_kernel_padded_dilated_strided_initial.py
78_conv_transposed_2d_asymmetric_input_asymmetric_kernel_padded,problems/kb_level1/78_conv_transposed_2d_asymmetric_input_asymmetric_kernel_padded.json,problems/kb_level1/78_conv_transposed_2d_asymmetric_input_asymmetric_kernel_padded_initial.py
79_conv_transposed_1d_asymmetric_input_square_kernel_padded_strided_dilated,problems/kb_level1/79_conv_transposed_1d_asymmetric_input_square_kernel_padded_strided_dilated.json,problems/kb_level1/79_conv_transposed_1d_asymmetric_input_square_kernel_padded_strided_dilated_initial.py
80_conv_standard_2d_square_input_asymmetric_kernel_dilated_padded,problems/kb_level1/80_conv_standard_2d_square_input_asymmetric_kernel_dilated_padded.json,problems/kb_level1/80_conv_standard_2d_square_input_asymmetric_kernel_dilated_padded_initial.py
81_conv_transposed_2d_asymmetric_input_square_kernel_dilated_padded_strided,problems/kb_level1/81_conv_transposed_2d_asymmetric_input_square_kernel_dilated_padded_strided.json,problems/kb_level1/81_conv_transposed_2d_asymmetric_input_square_kernel_dilated_padded_strided_initial.py
82_conv_depthwise_2d_square_input_square_kernel,problems/kb_level1/82_conv_depthwise_2d_square_input_square_kernel.json,problems/kb_level1/82_conv_depthwise_2d_square_input_square_kernel_initial.py
83_conv_depthwise_2d_square_input_asymmetric_kernel,problems/kb_level1/83_conv_depthwise_2d_square_input_asymmetric_kernel.json,problems/kb_level1/83_conv_depthwise_2d_square_input_asymmetric_kernel_initial.py
84_conv_depthwise_2d_asymmetric_input_square_kernel,problems/kb_level1/84_conv_depthwise_2d_asymmetric_input_square_kernel.json,problems/kb_level1/84_conv_depthwise_2d_asymmetric_input_square_kernel_initial.py
85_conv_depthwise_2d_asymmetric_input_asymmetric_kernel,problems/kb_level1/85_conv_depthwise_2d_asymmetric_input_asymmetric_kernel.json,problems/kb_level1/85_conv_depthwise_2d_asymmetric_input_asymmetric_kernel_initial.py
86_conv_depthwise_separable_2d,problems/kb_level1/86_conv_depthwise_separable_2d.json,problems/kb_level1/86_conv_depthwise_separable_2d_initial.py
87_conv_pointwise_2d,problems/kb_level1/87_conv_pointwise_2d.json,problems/kb_level1/87_conv_pointwise_2d_initial.py
05_matrix_scalar_multiplication,problems/kb_level1/05_matrix_scalar_multiplication.json,problems/kb_level1/05_matrix_scalar_multiplication_initial.py
12_matmul_with_diagonal_matrices,problems/kb_level1/12_matmul_with_diagonal_matrices.json,problems/kb_level1/12_matmul_with_diagonal_matrices_initial.py
19_relu,problems/kb_level1/19_relu.json,problems/kb_level1/19_relu_initial.py
20_leakyrelu,problems/kb_level1/20_leakyrelu.json,problems/kb_level1/20_leakyrelu_initial.py
21_sigmoid,problems/kb_level1/21_sigmoid.json,problems/kb_level1/21_sigmoid_initial.py
22_tanh,problems/kb_level1/22_tanh.json,problems/kb_level1/22_tanh_initial.py
25_swish,problems/kb_level1/25_swish.json,problems/kb_level1/25_swish_initial.py
26_gelu,problems/kb_level1/26_gelu.json,problems/kb_level1/26_gelu_initial.py
27_selu,problems/kb_level1/27_selu.json,problems/kb_level1/27_selu_initial.py
28_hardsigmoid,problems/kb_level1/28_hardsigmoid.json,problems/kb_level1/28_hardsigmoid_initial.py
29_softplus,problems/kb_level1/29_softplus.json,problems/kb_level1/29_softplus_initial.py
30_softsign,problems/kb_level1/30_softsign.json,problems/kb_level1/30_softsign_initial.py
31_elu,problems/kb_level1/31_elu.json,problems/kb_level1/31_elu_initial.py
32_hardtanh,problems/kb_level1/32_hardtanh.json,problems/kb_level1/32_hardtanh_initial.py
37_frobeniusnorm,problems/kb_level1/37_frobeniusnorm.json,problems/kb_level1/37_frobeniusnorm_initial.py
39_l2norm,problems/kb_level1/39_l2norm.json,problems/kb_level1/39_l2norm_initial.py
88_mingptnewgelu,problems/kb_level1/88_mingptnewgelu.json,problems/kb_level1/88_mingptnewgelu_initial.py
96_huberloss,problems/kb_level1/96_huberloss.json,problems/kb_level1/96_huberloss_initial.py
99_tripletmarginloss,problems/kb_level1/99_tripletmarginloss.json,problems/kb_level1/99_tripletmarginloss_initial.py
01_square_matrix_multiplication,problems/kb_level1/01_square_matrix_multiplication.json,problems/kb_level1/01_square_matrix_multiplication_initial.py
02_standard_matrix_multiplication,problems/kb_level1/02_standard_matrix_multiplication.json,problems/kb_level1/02_standard_matrix_multiplication_initial.py
03_batched_matrix_multiplication,problems/kb_level1/03_batched_matrix_multiplication.json,problems/kb_level1/03_batched_matrix_multiplication_initial.py
04_matrix_vector_multiplication,problems/kb_level1/04_matrix_vector_multiplication.json,problems/kb_level1/04_matrix_vector_multiplication_initial.py
06_matmul_with_large_k_dimension,problems/kb_level1/06_matmul_with_large_k_dimension.json,problems/kb_level1/06_matmul_with_large_k_dimension_initial.py
07_matmul_with_small_k_dimension,problems/kb_level1/07_matmul_with_small_k_dimension.json,problems/kb_level1/07_matmul_with_small_k_dimension_initial.py
08_matmul_with_irregular_shapes,problems/kb_level1/08_matmul_with_irregular_shapes.json,problems/kb_level1/08_matmul_with_irregular_shapes_initial.py
09_tall_skinny_matrix_multiplication,problems/kb_level1/09_tall_skinny_matrix_multiplication.json,problems/kb_level1/09_tall_skinny_matrix_multiplication_initial.py
10_3d_tensor_matrix_multiplication,problems/kb_level1/10_3d_tensor_matrix_multiplication.json,problems/kb_level1/10_3d_tensor_matrix_multiplication_initial.py
11_4d_tensor_matrix_multiplication,problems/kb_level1/11_4d_tensor_matrix_multiplication.json,problems/kb_level1/11_4d_tensor_matrix_multiplication_initial.py
13_matmul_for_symmetric_matrices,problems/kb_level1/13_matmul_for_symmetric_matrices.json,problems/kb_level1/13_matmul_for_symmetric_matrices_initial.py
14_matmul_for_upper_triangular_matrices,problems/kb_level1/14_matmul_for_upper_triangular_matrices.json,problems/kb_level1/14_matmul_for_upper_triangular_matrices_initial.py
15_matmul_for_lower_triangular_matrices,problems/kb_level1/15_matmul_for_lower_triangular_matrices.json,problems/kb_level1/15_matmul_for_lower_triangular_matrices_initial.py
16_matmul_with_transposed_a,problems/kb_level1/16_matmul_with_transposed_a.json,problems/kb_level1/16_matmul_with_transposed_a_initial.py
17_matmul_with_transposed_b,problems/kb_level1/17_matmul_with_transposed_b.json,problems/kb_level1/17_matmul_with_transposed_b_initial.py
18_matmul_with_transposed_both,problems/kb_level1/18_matmul_with_transposed_both.json,problems/kb_level1/18_matmul_with_transposed_both_initial.py
95_crossentropyloss,problems/kb_level1/95_crossentropyloss.json,problems/kb_level1/95_crossentropyloss_initial.py
98_kldivloss,problems/kb_level1/98_kldivloss.json,problems/kb_level1/98_kldivloss_initial.py
33_batchnorm,problems/kb_level1/33_batchnorm.json,problems/kb_level1/33_batchnorm_initial.py
34_instancenorm,problems/kb_level1/34_instancenorm.json,problems/kb_level1/34_instancenorm_initial.py
35_groupnorm,problems/kb_level1/35_groupnorm.json,problems/kb_level1/35_groupnorm_initial.py
40_layernorm,problems/kb_level1/40_layernorm.json,problems/kb_level1/40_layernorm_initial.py
41_max_pooling_1d,problems/kb_level1/41_max_pooling_1d.json,problems/kb_level1/41_max_pooling_1d_initial.py
42_max_pooling_2d,problems/kb_level1/42_max_pooling_2d.json,problems/kb_level1/42_max_pooling_2d_initial.py
43_max_pooling_3d,problems/kb_level1/43_max_pooling_3d.json,problems/kb_level1/43_max_pooling_3d_initial.py
44_average_pooling_1d,problems/kb_level1/44_average_pooling_1d.json,problems/kb_level1/44_average_pooling_1d_initial.py
45_average_pooling_2d,problems/kb_level1/45_average_pooling_2d.json,problems/kb_level1/45_average_pooling_2d_initial.py
46_average_pooling_3d,problems/kb_level1/46_average_pooling_3d.json,problems/kb_level1/46_average_pooling_3d_initial.py
100_hingeloss,problems/kb_level1/100_hingeloss.json,problems/kb_level1/100_hingeloss_initial.py
36_rmsnorm,problems/kb_level1/36_rmsnorm.json,problems/kb_level1/36_rmsnorm_initial.py
38_l1norm,problems/kb_level1/38_l1norm.json,problems/kb_level1/38_l1norm_initial.py
47_sum_reduction_over_a_dimension,problems/kb_level1/47_sum_reduction_over_a_dimension.json,problems/kb_level1/47_sum_reduction_over_a_dimension_initial.py
48_mean_reduction_over_a_dimension,problems/kb_level1/48_mean_reduction_over_a_dimension.json,problems/kb_level1/48_mean_reduction_over_a_dimension_initial.py
49_max_reduction_over_a_dimension,problems/kb_level1/49_max_reduction_over_a_dimension.json,problems/kb_level1/49_max_reduction_over_a_dimension_initial.py
51_argmax_over_a_dimension,problems/kb_level1/51_argmax_over_a_dimension.json,problems/kb_level1/51_argmax_over_a_dimension_initial.py
52_argmin_over_a_dimension,problems/kb_level1/52_argmin_over_a_dimension.json,problems/kb_level1/52_argmin_over_a_dimension_initial.py
53_min_reduction_over_a_dimension,problems/kb_level1/53_min_reduction_over_a_dimension.json,problems/kb_level1/53_min_reduction_over_a_dimension_initial.py
94_mseloss,problems/kb_level1/94_mseloss.json,problems/kb_level1/94_mseloss_initial.py
89_cumsum,problems/kb_level1/89_cumsum.json,problems/kb_level1/89_cumsum_initial.py
90_cumprod,problems/kb_level1/90_cumprod.json,problems/kb_level1/90_cumprod_initial.py
91_cumsum_reverse,problems/kb_level1/91_cumsum_reverse.json,problems/kb_level1/91_cumsum_reverse_initial.py
92_cumsum_exclusive,problems/kb_level1/92_cumsum_exclusive.json,problems/kb_level1/92_cumsum_exclusive_initial.py
93_masked_cumsum,problems/kb_level1/93_masked_cumsum.json,problems/kb_level1/93_masked_cumsum_initial.py
23_softmax,problems/kb_level1/23_softmax.json,problems/kb_level1/23_softmax_initial.py
24_logsoftmax,problems/kb_level1/24_logsoftmax.json,problems/kb_level1/24_logsoftmax_initial.py
